category	es	us	meaning	example
Expressions	Not on your life!	¡Ni por sueño!	 ¡Ni por tu vida!	 Me? Bungee-jumping? Not on your life!
Expressions	Not my cup of tea	No es lo que me gusta/interesa	No es mi taza de te	I don't like horror movies, they're not my cup of tea
Expressions	Not to mince words	Hablar sin rodeos		 He didn't mince words but rather said exactly what he thought in a direct manner.
Expressions	Nothing to be sneezed at	Algo considerado como importante, como una suma	 Nada para estornudar	
Expressions	On a whim	Por capricho, sin planear, de pronto	2. I quit my job OAW but regretted it	 1. On a whim. We decided to go to Las Vegas for the weekend.
Expressions	Off season	Temporada baja.		 Hotels are always cheaper in the off-season.
Expressions	On behalf of	En nombre de		 On behalf of the Consulate, I would like to thank all our Facebook and twitter followers! :)
Expressions	On everyone's lips	Un tema de que todos hablan	 En los labios de todos	The gossip on everyone's lips is that they are a couple
Expressions	On foot	A pie		 Should we go on foot or by car?
Expressions	On the ball	Alerta, preparado		 She was always on the ball and ready for anything.
Expressions	On the house	Gratis (pagado por el dueño)	 Sobre la casa	
Expressions	On the fence	Indeciso		 He was on the fence about what to do.
Expressions	On the one hand ... on the other hand	Por un lado ... y por el otro lado		
Expressions	On the rebound	Recuperación después de algo difícil		 She went out with him because she is on the rebound.
Expressions	On the up and up	Honesto, legal		 They say he is corrupt but I think he is on the up and up.
Expressions	On the way	En camino.	2. Honey, I'm on my way home.	 1. We're going to John's house; let's stop for ice cream on the way.
Expressions	On your mark, get set, go!	Dicho para empezar una carrera.		En sus marcas, listo, fuera
Expressions	Once in a blue moon		 Una vez cada luna azul	 I only saw him once in a blue moon.
Expressions	On account of	A causa de		 We had to postpone the baseball game on account of the rain.
Expressions	On the back burner	En espera, suspendido para más tarde	 En el hornillo de atrás	Without funding, we have put our plans OTBB.
Expressions	On the ball	Alerta, preparado	 Encima de la pelota	 She was assigned the project because she is OTB.
Expressions	On the off chance	Por si acaso; si hay una remota posibilidad		 It is sunny now, but I'll take an umbrella OTOC it might rain.
Expressions	On the up and up 			 He's not corrupt; he's on the up and up.
Expressions	On time	A la hora, a tiempo		 The meeting started on time but it ran over.
Expressions	Once upon a time there was...	Érase una vez		
Expressions	Open season on	Temporada abierta	 El periodo cuando uno puede cazar o pescar	 It's OSO big game hunters
Expressions	Out of order	Fuera de servicio, roto		I am sorry, but the bathroom is out of order.
Expressions	Out of the blue	Inesperadamente		Out of the blue, she decided to quit university and join the army.
Expressions	Over and done with	Solucionado		 The days of domestic violence should be over and done with.
Expressions	Over and over (again)	Repitidamente		She kept saying over and over how sorry she was.
Expressions	Over my dead body	De ninguna manera	 Sobre mi cadaver	 Son, you are going to that party over my dead body. (No vas a ir.)
Expressions	Over the hill	Una persona mayor	 Sobre la colina	
Expressions	Over the counter medicine	Medicina sin receta medica		
Expressions	Palm Sunday - Domingo de Ramos	Holy Thursday - Jueves Santo	Easter Sunday - Domingo de Pascua de Resurrección	Good Friday - Viernes Santo
Expressions	Par for the course	Típico (para el tereno); habitual; lo esperado (término del golf)		Sadly, discriminaton was PFTC in the 1960's
Expressions	Pardon my French	Perdone mi lenguaje (mal hablado)	 Perdone mi Frances	Pardon my French, but I swear like a truckdriver.
Expressions	Party pooper	Es ser un "aguafiestas"!		
Expressions	PBnJ	A peanut butter and jelly sandwich		Un sánduche de mantequilla de maní y mermelada.
Expressions	Pecking order	Jerarquía	 To peck = picotear	 Even among groups of children, a pecking order quickly develops.
Expressions	Pep Rally	Un evento para subir el humor de aficionados de un equipo antes de un partido		
Expressions	Perish the thought!	Dicho para algo que no quieres que pase / Dios nos libre	 Perezca el pensamiento	 Me? Move to China? Perish the thought!
Expressions	Poetic justice	Castigo / justo		It's poetic justice that the boat they stole had a leak (fuga) and they sunk (hundieron).
Expressions	Pronunciation:	Corps (cuerpo) pronounced COR	Corpse (cadaver) pronounced CORPS	Marine Corps, Peace Corps, Consular Corps
Expressions	Quiet as a mouse	Muy silencioso	 Silencioso como un ratón	 The thief was as quiet as a mouse.
Expressions	Rain check	1. Un compromiso para hacer algo en otra ocasión.		 Sorry, I can't do lunch today. Rain check?
Expressions	Rain check (take or get)	2. Un bono para comprar algo con descuento en otra fecha porque la tienda no lo tiene durante la		rebaja.
Expressions	Rain or shine	A pesar del tiempo, llueva o haga sol,		 We will go to the park tomorrow, rain or shine.
Expressions	Rain, rain go away, come again another day! (Classic children's rhyme)	Lluvia, aléjate lluvia, vuelve otro día!		
Expressions	Rat race	Ajetro cotidiano especialmente en el trabajo / vivir a la carrera	 Competencia de ratas	 I want to leave this rat race and retire!
Expressions	Raw materials	Materias primas		
Expressions	Room and board	Alojamiento y comida		 Your budget for university needs to include room and board.
Expressions	Safety in numbers	Seguridad en grupo		 When walking through a bad neighborhood, there is safety in numbers.
Expressions	"Saturday night special"	Una pistola barata		
Expressions	She is "one smart cookie"	Es muy intelligente.	 Es una galleta inteligente	
Expressions	Short and sweet	corto y conciso	 Corto y dulce	We don't have much time, so let me make this talk short and sweet.
Expressions	Shotgun! (to ride shotgun)	Ir en el asiento del copiloto / dar apoyo	 ¡Escopeta!	Vea la historia: https://en.wikipedia.org/wiki/Riding_shotgun
Expressions	Significant other	Esposo/a, pareja, novio/a, acompañante	 Su "otro importante"	
Expressions	Silence is golden	En boca cerrada no entran moscas	 El silencio es oro	
Expressions	Six feet under	Muerto	 Seis pies debajo (la tierra)	 When that happens I'll be six feet under.
Expressions	Slow as molasses in January	Muy lento	 Lento como la melaza en enero	
Expressions	Snowbirds	Gente q viven en tierra fría en verano y en tierra caliente en invierno.		SB live in Florida in winter & NY in the summer.
Expressions	So far so good	Hasta ahora todo va bien.		
Expressions	Solid as a rock	Tan sólido como la piedra; muy solido		 Our relationship is solid as a rock.
Expressions	Somewhere along the way	Por el camino		 Let's stop somewhere along the way to buy some ice cream!
Expressions	Speak of the devil	Dicho cuando estás hablando de alguien y llega	 Hablando del diablo	 SOTD, we were just talking about you
Expressions	Spoiler	1. Alguien que arruina o hecha a perder algo		2. Alguien que revela el final de una historia antes de ver/leer toda la historia
Expressions	Sticker shock	El impacto de ver precios altos	 Impacto del precio	I went through sticker shock when I was shopping in London.
Expressions	Straight from the horse's mouth	Directamente de la fuente	 De la boca del caballo	
Expressions	Teacher's pet	El/la favorito alumno/a del profesor(a)	 Mascota del profesor	
Expressions	TGIF = Thank God It's Friday!	Gracias a Dios es viernes		¡Que tengan un buen fin de semana!
Expressions	That's more like it!	Eso está mejor.	 Eso es más como es ello	 When I got A's at school, Mom said "Now that's more like it!"
Expressions	Take it from me	Créeme		Take it from me, the Galapagos is worth visiting!
Expressions	TBD: to be decided	Por definir		 The dinner with the Ambassador will be at January 15 at 7pm, restaurant TBD.
Expressions	TGIF = Thank God It's Friday!	Gracias a Dios es viernes		¡Que tengan un buen fin de semana!
Expressions	That's a horse of another color	Eso es harina de otro costal	 Eso es un caballo de otro color	
Expressions	"The 3 R's"	Referencia a educación: Reading, wRiting & aRithmetic (Leer, escribir, aritmética)		School needs to teach the 3 R's...
Expressions	The advantage of +verb-ing	La vantaja de		 Not everyone has the advantage of studying a foreign language.
Expressions	The big cheese	La persona importante		 I thought I was going to meet with someone lower ranking, but I met the big cheese!
Expressions	The foggiest (idea)	La más mínima idea	 La más brumosa	 I don't have the foggiest what the answer is.
Expressions	The fox guarding the henhouse	El zorro cuidando el gallinero 		
Expressions	The granddaddy of them all	El mayor de todos / el patriarca		 When I went fishing I caught the grandaddy of them all.
Expressions	The grass is always greener (on the side of the fence)	Lo que tienen los otros siempre parece mejor	 El pasto del vecino siempre es más verde	
Expressions	The graveyard shift	El turno de trabajo en la mitad de la noche, ej 12-8am.		Graveyard = cementerio, shift = turno de trabajo
Expressions	The hair of the dog that bit you	Bebida alcohólica para curar la resaca / "Con la misma lana del perro se cura"	 El pelo del perro que te mordió	
Expressions	The honor system	Se confíe que la gente sigue las reglas por su honor		En mi tierra, pagamos verduras así
Expressions	The ins and outs of	Todos los detalles y maneras de hacer algo		After 1 year he is still learning the I&O of international shipping
Expressions	The kitchen sink		 El lavabo de la cocina	Símbolo de cosas no útiles
Expressions	The left hand doesn't know what the right hand is doing	Comunicación pobre entre dos partes.	 La mano izquierda no sabe lo que la mano derecha está haciendo.	
Expressions	The lion's share	La mayoría	 La porción del león.	 He ate the lion's share of the pie.
Expressions	The movers and shakers	La gente activa que producen resultados (los que mueven y sacuden)		Are you a mover and shaker?
Expressions	The new kid on the block	Persona nueva en el área (en la cuadra)		My company is the new kid on the block but we are gaining ground fast
Expressions	The proof is in the pudding.	No se puede juzgar algo hasta que lo haya probado sí mismo.	 Le prueba está en el pudín.	
Expressions	The pros and cons	Los pros y contras		 Before we made the decision to buy the house, we weighed the pros and cons.
Expressions	The rock-bottom offer	La oferta más baja; la oferta final		That's my rock-bottom offer! Take it or leave it!
Expressions	The Sandman	Libro de historietas cómicas		
Expressions	The status quo	El estado actual, la actual situación		 Change is hard; people are most comfortable with the status quo.
Expressions	The straw that broke the camel's back	La gota que derramó el vaso	 La paja que rompió la espalda del camello.	"the last straw"
Expressions	The tail end of X	El final de X	 Al final de la fila	I just caught the tail end of the show on TV.
Expressions	The tip of the iceberg	La punta del iceberg		(Una pequeña parte que se ve de un problema más grande)
Expressions	Them's fightin' words!	"Esas son palabras de guerra," dicho normalmente en broma entre amigos.		
Expressions	There are no flies on X	X es inteligente y piensa rapidamente		Maria can get this done fast. There are no flies on her!
Expressions	There's more than enough	Es más que suficiente		Stay and have supper with us, there's more than enough for us all.
Expressions	There's more to it than meets the eye	Las apariencias engañan		
Expressions	Thin-skinned: sensible, quien fácilmente se siente ofendido	thick-skinned: insensible, quien no se siente fácilmente ofendido		
Expressions	Things are looking up.	Las cosas están mejorando.		 With everyone working together, things are looking up.
Expressions	Three Second Rule	Que la comida que se cayó se puede comer si no se ha quedado más de 3 segundos en el suelo.		(¡Si, sé que es asqueroso!)
Expressions	Through and through	Completamente		 Although he was born elsewhere, he is an Ecuadorian through and through.
Expressions	Through thick and thin	En las buenas y en las malas	 Entre lo grueso y delgado.	 He was a good friend through...
Expressions	Tricky word pronunciation for today:	Island (isla): Pronounced Ai-land. The S is silent.		Iceland (country) Pronounced Ais-land; S not silent
Expressions	1/2 Turning in his grave	Dicho para un disgusto para una persona muerta, si estuviera en vida per verlo		Grave = tumba
Expressions	2/2 Dad would be turning in his grave at what they have done to his office.			
Expressions	TV dinner	Una comida preparada que se vende donde las comidas congeladas. La idea es que se come delante la		televisión.
Expressions	Under one's breath	Murmurar, hablando muy bajito.	 Más bajo que la respiración	 He made a nasty remark under his breath.
Expressions	Under the auspices of	OJO: no "the auspice"!		 The conference was held under the auspices of the Consulate.
Expressions	Under the table	Secretamente, ilegítimamente	 Debajo de la mesa	
Expressions	Until the cows come home	Hasta muy tarde, por mucho tiempo		I can talk about my family until the cows...
Expressions	Up-and-coming	Quien progresa y tiene posibilidades de éxito en el futuro; prometedor		 He is an up-and-coming young politician.
Expressions	Up in the air	Sin resolverse	 Arriba en el aire	 The decision was still up in the air.
Expressions	Wake up and smell the coffee!	¡Dése cuenta de la realidad!	 ¡Despiértese y huela el café!	
Expressions	Wear and tear	Desgaste y deterioro		 You will be charged for anything beyond normal wear and tear of the rental car
Expressions	We're not in Kansas anymore	Ya estamos lejos de lo conocido y lo cómodo		De la película "The Wizard of Oz"
Expressions	Were you raised in a barn?	¿Es que no tienen puertas en tu casa?	 ¿Creciste en un establo? Usado cuando se deja la puerta abierta	
Expressions	What a turkey!	¡Qué persona antipática!	 ¡Qué pavo!	
Expressions	What's eating you?	Que te está molestando?	 ¿Qué te está comiendo?	
Expressions	What's on your mind?	Que estás pensando?	 ¿Qué está en tu cerebro?	mind = brain = cerebro
Expressions	What's a store's or website's Return Policy?	Las condiciones bajo las cuales uno puede devolver algo que ha comprado		
Expressions	What's the use of…?	Para que…?	(Para qué mudarse.)	 What's the use of moving? This house is great.
Expressions	When all is said and done	Al fin y al cabo	 Cuando todo está dicho y hecho	
Expressions	Where are you sitting if you are "riding shotgun" in a car?	En el asiento del pasajero de adelante.		
Expressions	Who/Whom graphic 			
Expressions	Whiteout	Cuando hay tanta nieve cayendo que uno tiene muy poca visibilidad.		 During the whiteout, he couldn't see to drive!
Expressions	With all due respect	Con el debido respeto		 With all due respect, I disagree strongly with your opinion.
Expressions	With flying colors	Con éxito total		 She passed her exam with flying colors
Expressions	Within an inch of (my) life	A las puertas de la muerte	 A una pulgada de vida	I came within an inch of my life in that car accident.
Expressions	Without batting an eye	Sin pestañear		 He told his teacher a lie without batting an eye.
Expressions	Without rhyme or reason	Sin ton ni son	 Sin ritmo ni razón	
Expressions	#WTO (World Trade Organization)	OMC (Organización Mundial del Comercio)		
Expressions	X is anyone's guess	Nadie sabe X; ¿quién sabe?; es una incógnita	 La suposición de alguien	 When the war will end is anyone's guess.
Expressions	You are the cream of the crop!	¡Eres lo mejor de lo mejor!	 Eres la crema de la cosecha.	
Expressions	You can write your own ticket	Tienes tu futuro asegurado	 Puedes escribir tu proprio billete	
Expressions	You crack me up	Me haces reir		
Expressions	You scratch my back and I'll scratch yours	Si mes ayudas, te ayudo	 Me haces un favor, yo te hago otro	"quid pro quo" en latino, usado en inglés también.
Expressions	You win some, you lose some.	A veces se gana, a veces se pierde.		
Expressions	Your back to the wall	Entre la espada y la pared	 Tu espalda a la pared	Estas en muy mala situación de negociación
Expressions	Your John Hancock	Tu firma		 Put your John Hancock on the contract.
