category	es	us	meaning	example
Verbs	To keep your cool	Quedarte calmo aún bajo presión		 I've never seen my mom angry
Verbs	To kick back and relax	Ponerse cómodo y relajarse	 Dar una patada y relajarse	 It's Sunday
Verbs	To kill two birds with one stone	Matar dos pájaros de un solo tiro	 Matar dos pájaros con una sola piedra	
Verbs	To knock your socks off	Asombrarse, sorprenderse		 The show is so good it will knock your socks off!
Verbs	To know (someplace) like the back of your hand	Conocer un sitio muy bien. Conocer como la palma de la mano.		 I know Buffalo like the back of my hand.
Verbs	To know where (someone) stands	Conocer la situación de alguien (sobre algo) / saber en que situación se encuentra una persona		 You know where I stand on capital punishment.#inglés
Verbs	To know X by heart	Saber de memoria		 I know all my irregular verb conjugations by heart. Do you?
Verbs	To know X inside and out 		 Conocer X de adentro afuera	Conocer X muy bien
Verbs	To learn the ropes	Aprender todo de un trabajo	 Aprender las cuerdas (de un barco)	 She got a new job so she had to learn TR
Verbs	To learn (X) from the bottom up	Aprender (X) desde el trabajo más básico para arriba		The owner's son learned the business FTBU.
Verbs	To leave no stone unturned	Buscar en todas partes		 The police left no stone unturned until they caught the criminal.
Verbs	To leave someone alone	Dejar a alguien en paz		I wish my little brother would stop bothering me and just leave me alone!
Verbs	To lend/need a helping hand	Prestar / necesitar ayuda		 That box looks really heavy. Do you need a helping hand?
Verbs	To let X slip through your fingers	Perder una oportunidad		I can't let this chance slip through my...
Verbs	To level with someone	Hablar directamente y honestamente con alguien		 I have to level with you: I don't like your cooking.
Verbs	To live life on the edge	Vivir de modo peligroso o arriesgado	the edge = el borde	 Extreme sports players live life on the edge.
Verbs	To live up to your reputation			 He gave a great speech and lived up to his reputation.
Verbs	1 To live within one's means	Vivir con sus propios medios	Gastar demasiado, más que su salario	2 To live beyond one's means
Verbs	To look down on someone	Menospreciar		 It's not right to look down on someone else for any reason.
Verbs	To look forward to X	Esperar X con ganas	 Mirar adelante a X	I am looking forward to seeing my grandchildren when they visit me
Verbs	To look into (something)	Investigar		1. Let's look into masters programs in the USA | They looked into the murder.
Verbs	To look over	Revisar, examinar		 He needs to look over the cattle to make sure they are in good condition. I looked over the menu.
Verbs	To look up	1-buscar información: I need to look up what is the capital of Texas		2-estar mejorando: The economy is looking up.
Verbs	To look up to someone	Sentir admiración por alguien.		 I have always looked up to Oprah.
Verbs	To make a beeline (to or for something)	Ir directamente a algo.		 She came in and made a beeline for the dessert table.
Verbs	To make a killing		 Ocasionar una matanza	Ganar mucho dinero
Verbs	To make a living from	Ganarse la vida de		 Many people on the coast make a living from fishing.
Verbs	To make a mountain out of a molehill	Hacer de una pulga un elefante / ahogarse en un vaso de agua	 Hacer una montaña de un grano de arena	
Verbs	To make a name for oneself	Hacerse famoso.		 She made a name for herself in the petroleum industry.
Verbs	To make an impression on X	Dejar impresionado a X, Impresionar a X		 His speech really made an impression on me.
Verbs	To make ends meet	Tener dinero para cubrir solamente lo que se tiene que pagar / llegar a fin de mes	" ""Hacer alcanzar"""	It's hard to make ends meet
Verbs	To make from scratch	Preparar algo con los ingredientes, no de una mezcla en caja		The cake is so good because you made it from scratch!
Verbs	To make SOMEONE up	Maquillar a alguien		 Veronica made me up for my photo shoot.
Verbs	To make SOMETHING up (2)	Inventar (una historia)		 He said his father was a war hero, but it wasn't true. He made it up.
Verbs	To make the best of it			The hotel turned out not to be very nice, but let's make the best of it
Verbs	3. To make up	Perdonarse/ hacer las paces.		 Joe and Maria were mad at each other yesterday, but they made up today.
Verbs	To make up for	Compensar / reponer		 I'm sorry I couldn't go today, but I'll make up for it by helping twice as much tomorrow.
Verbs	To make X from scratch	Preparar algo de los ingredientes, no de caja.		 I made these cookies from scratch.
Verbs	To make your blood boil	Enfadarte	 Hacer que tu sangre hierva.	 When he does that it makes my blood boil!
Verbs	To mingle	Incorporarse, reunirse, relacionarse con diferentes personas.		 Don't just talk to one person
Verbs	To miss the boat	Perder el tren / perder la oportunidad		 You could have invested in Apple, but you missed...
Verbs	To nod off	Quedarse dormido.		 I don't know what happened
Verbs	To paint oneself into a corner	Ponerse en una situación difícil	 Pintarse en un rincón	
Verbs	To parrot	Copiar acciones de alguien	 Hacer el loro	
Verbs	To pass out	1. desmayarse		 He drank a lot and passed out.
Verbs	To pay the price	Sufrir las consecuencias		 I am paying the price on the scale for everything I ate last week.
Verbs	To pay someone back	Devolver dinero prestado a alguien | tomar venganza contra alguien.		" ""Careful, he wants payback!"""
Verbs	To pay through the nose			
Verbs	To pick on	Fastidiar, burlarse de, acosar		 Bullies always pick on the unpopular kids at school. #NoBullying
Verbs	To pick out	Seleccionar. escoger		 Mom told me to pick out a new dress for my birthday.
Verbs	To pick someone's brain	Solicitar ideas / Pedir información	 Hurgar el cerebro de otro	 May I pick your brain for ideas for my new business?
Verbs	To pick up the tab	Pagar la cuenta en un bar o restaurante		 My boss picked up the tab for dinner for all of us.
Verbs	To pick up where you left off	Empezar donde paraste		 Class, let's pick up reading where we left off yesterday.
Verbs	To pig out	Comer demasiado		 I always pig out on pizza!
Verbs	To play dead	Hacerse el muerto		When the possum walked by, the iguana played dead.
Verbs	To play dumb	Hacerse el tonto / hacerse el loco		 Don't play dumb
Verbs	To play hooky	Hecharse la pera / faltar a clases		 Joe played hooky from school today to go to the beach with his friends.
Verbs	To pop the question	Proponer matrimonio	 Soltar la pregunta	Joe finally popped the question, but Maria said no!
Verbs	To practice law	Ejercer la profesion de abogado/a.	Una oficina de abogado(s)	A law practice
Verbs	To prevent X from doing Y	Impedir X de hacer Y		 His flu prevented him from going to work.
Verbs	To preach to the choir	Convencer a los ya convencidos	 Predicar al coro	No need to tell me
Verbs	To pull a fast one on someone	Engañar a alguien	 Nos hizo una y buena	 He pulled a fast one on us = nos engañó
Verbs	To pull an all-nighter	Estudiar o trabajar toda la noche		 John pulled an all-nighter to study for his exam.
Verbs	To pull someone's leg	Tomar el pelo		 That can't be true
Verbs	To pull strings	Usar palanca	 Tirar cuerdas	
Verbs	To put a bug in someone's ear	Dar una pista sobre algo / indisponer a una persona con otra	 Meter la pulga en la oreja	
Verbs	To put it mildly	Para expresarlo de un modo muy suave		 To put it mildly, his behavior was inappropriate.
Verbs	To put one's best foot forward	Dar la mejor impresión / esmerarse		 At job interviews, you should always put your...
Verbs	To put one's foot down	Ponerse firme		 His Mom put her foot down and said no more parties at the house.
Verbs	To put one's foot in one's mouth	Meter la pata		 You really put your foot in your mouth when you said she looked chubby.
Verbs	To put someone away	Encarcelar a alguien.	(burglary - robo de casas vacías	They put him away for burglary.
Verbs	To put someone down	Insultar, hablar mal de alguien.		 Don't put Joe down in front of other people. You're not a good friend!
Verbs	To put something on ice	Aplazar, postergar		Let's put the idea of a Galapagos cruise on ice until we can save more money.
Verbs	To put two and two together	Dos más dos son cuatro		 I just put 2 + 2 together and understood that John is the one who took the money.
Verbs	To put up with	Aguantar		 I can put up with the neighbors' dogs barking, but not with their loud parties.
Verbs	To put X into jeopardy	Poner X en peligro		His arrest put his scholarship in jeopardy.
Verbs	To put X on the map	Hacer que X sea un lugar conocido		The #AllYouNeedIsEcuador campaign put Ecuador on the map for US tourists :)
Verbs	To put your foot in it	Decir un disparate		
Verbs	To put your money where your mouth is	Respaldar tus palabras con acciones.	 Poner su dinero en su boca.	
Verbs	To put your thinking cap on	Pensar para resolver algo / pensar seriamente en algo		 I don't see the answer
Verbs	To quit (a habit) cold turkey	Dejar un mal hábito repentinamente		 Did you quit smoking cold turkey?
Verbs	To rain on someone's parade	Dañar los planes.		 Whenever I had a date, my little brother rained on my parade.
Verbs	To reach a stalemate	Llegar a un punto muerto		 The negotiations have reached a stalemate
Verbs	To resign oneself to X		I'll resign myself to skipping vacation this year, but next year I'm going to Hawaii!	Aceptar X de mala gana
Verbs	To ring a bell	Sonar familiar	 Sonar un timbre	 That name rings a bell.
Verbs	To roll up your sleeves	Prepararse para trabajar duro.		 We've got a lot of work to do
Verbs	To roll with the punches	Adaptarse a las circunstancias	 Rodar con los puñetazos	
Verbs	To rack one's brain	Pensar insistentemente en algo		 I have been racking my brain, but I can't remember his name.
Verbs	To run an errand/to run errands	Hacer mandados como ir al supermercado, lavandería en seco, panadería, etc.		 On Saturdays, I run errands.
Verbs	To rub salt in the wound	Poner el dedo en la llaga	 Poner sal en la herida	
Verbs	To run in the family	Ser cosa de familia		Red hair and a love of baseball run in our family.
Verbs	To run on empty	Estar sin energía, cansado / Quedarse sin nada	 Funcionando (con el tanque) vacío	 I haven't slept all week
Verbs	To save for a rainy day	Ahorrar por eventualidades difíciles	 Ahorrar por un día de lluvia	 To be cautious, you should save...
Verbs	To save someone's neck	Salvar a alguien		 You saved my neck by telling my Mom I was at your house last night!
Verbs	To say something tongue-in-cheek	Decir algo que parece serio pero que en realidad es una broma	 Decir algo lengua-en-mejilla	
Verbs	To scratch	Rasgar(se) / arañar		
Verbs	To scratch the surface	No profundizar mucho en un tema		 We have just begun to scratch the surface
Verbs	To see eye to eye	Estar de acuerdo	 Ver ojo a ojo	Sam and Fred saw eye to eye on how to run the business.
Verbs	To see the last of	Ver por última vez		 She saw the last of him at the divorce proceeding. (They never saw each other again.)
Verbs	To see X in a whole new light	Entender algo o alguien de una manera diferente		 After his talk I saw him in a whole new light.
Verbs	To sell like hotcakes	Vender mucho / Vender como pan caliente		This new brand of jeans is selling like hotcakes.
Verbs	To settle on	Ponerse de acuerdo.		. 1. They settled on a restaurant for the reception.| They settled on a price.
Verbs	 To shake someone up	Cuando una situación trastorna a alguien.		 The news of her death really shook him up.
Verbs	 To shake up	Reorganizar, hacer cambios radicales.		 The new management is going to shake things up big time.
Verbs	To shop around	Comparar precios	#inglés 	 If you shop around when you buy a new car, you are sure to get a better deal.
Verbs	To sleep like a log	Dormir como un tronco		 I was so tired that I slept like a log.
Verbs	To sleep on it	Tomar tiempo para una decisión	 Dormir sobre ello	 I need some time to think
Verbs	To smell a rat	Sospechar que alguien es un traidor	 Oler una rata	 The news was leaked. I smell a rat!
Verbs	To sneak up on (someone)	Acercarse sigilosamente / inesperadamente.		 Old age really snuck up on me. I'm almost 50, but yesterday I was 25!
Verbs	To snow someone	Engañar a alguien	Nevar a alguien (usado en el Norte)	She was snowed into believing his story #inglés
Verbs	To speak ill of	Hablar mal de		 It is considered bad form to speak ill of the dead.
Verbs	To speak one's mind freely	Hablar con toda franqueza		 If I can my speak my mind freely, I think we should be more forward-leaning
Verbs	To speak up	1 Hablar más fuerte		 You need to learn to speak up at the office
Verbs	To spill the beans	Revelar un secreto sin querer	 Dejar caer los frijoles	
Verbs	To spring for something	Pagar algo en una ocasión especial		 Team, you did such a great job today
Verbs	To spring into action	Entrar en acción		 When the boss arrives, everyone springs into action.
Verbs	To spring something on someone	Sorprender a alguien con algo.		 Because he sprung the meeting on me, I was unprepared.
Verbs	To stand against	Tomar una posición en contra de algo.		 We stand united against drunk driving.
Verbs	To stand for	Simbolizar algo		 COB stands for Close of Business
Verbs	To start from scratch	Empezar desde cero		 The plan didn't work so we have to start again from scratch.
Verbs	To start with	Para empezar (lista)		What do I like about her? Well, to start with, she's generous with her time volunteering.
Verbs	To stay clear of	Evitar / mantenerse alejado de		 Over dinner conversation, it is best to stay clear of politics and religion.
Verbs	To steal the show	Ser la sensación de la fiesta / atraer la atención	" robar el ""show"""	 The second actress was so good she stole the show.
Verbs	To steer clear of X	Evitar X		 I steer clear of icy roads.
Verbs	To step on someone's toes	Ofender a alguien.	 Pisar los dedos de los pies de alguien	
Verbs	To stick your neck out	Arriesgarse		 He stuck his neck out by telling the boss what he really thought of the project.
Verbs	To stomach	Tragar, soportar, aguantar.		 I can't stomach hypocrites. No puedo aguantar hipócritas.
Verbs	To stop dead in one's tracks	Pararse en seco / Frenar a raya		The burglars stopped dead in their tracks when they heard a car pull into the garage
Verbs	To suit X to a T	Ser perfecto para X	Ese vestido es perfecto para ella.	 That dress suits her to a T.
Verbs	To swear	1) Jurar: I swear it's the truth!		2) Maldecir/blasfemar: Stop swearing and wash your mouth out with soap!
Verbs	To sweep someone off his/her feet	Amor loco		Perder la cabeza - en sentido romántico
Verbs	To sweeten the deal	Añadir algo a una oferta para hacerla más atractiva		I'll throw in free power windows to sweeten the deal.
Verbs	To swindle someone out of X	Estafar a alguien		 He swindled many elderly out of their life savings.
Verbs	To table X	Posponer X	 Entablar X	 The committee tabled the discussion until its next meeting
Verbs	To tag along	Acompañar sin ser invitado inicialmente		 I heard you all are going to the movies. Could I tag along?
Verbs	To take a chance	"Aventurarse, arriesgarse, ""probar suerte"""		 Why don't you take a chance and ask her out (on a date)?
Verbs	To take a joke	Aceptar una broma		 Some people really can't take a joke!
Verbs	To take a shortcut	Tomar un atajo		 I know a SC to get there fast.
Verbs	To take a shot in the dark	Adivinar	 Meter un tiro en la oscuridad	 It's better to check the info than take a shot in the dark!
Verbs	To take advantage of	Aprovecharse de (una oportunidad)		
Verbs	To take after (someone)	Parecerse (a un pariente)		 As far as his musical talent, he takes after his mother.
Verbs	To take it from the top	Empezar desde el principio		 Wait! I heard a mistake. Let's take it from the top.
Verbs	To take off	1. Despegar (avión) 2.  Quitar (ropa) 2.  Empezar a hacer muy bien algo / salir bien. (Despegar fig.)		 His business is really taking off!
Verbs	To take someone at his word	Creer la promesa de alguien / Tomar la palabra		He told me the work would be complete by today and I took him at his word.
Verbs	To take something personally	Ofenderse		Don't take it personally, but I think a different dress would look better on you.
Verbs	To take something with a grain of salt	Tomar una información con cierta reserva	 Tomar con un poquito de sal.	 Jorge is opinionated, so take what he says...
Verbs	To take the bull by the horns	Tomar control de una situación		Since no one was in charge of the party, I took the bull by the horns.
Verbs	To take to heart	Tomar a pecho		 She really took his criticism to heart and felt bad about it.
Verbs	To take X as gospel	Estar convencido de algo como si fuera el evangelio	The gospel = el evangelio	 He took her word on what had happened as gospel.
Verbs	To take X to the cleaners	Robar a X, jugando por $ o cobrando demasiado	 Llevar X al lavaseco	He took me TTC playing poker
Verbs	To think on your feet	Ajustar a cambios y tomar decisiones rápidamente		 When something goes wrong you have to TOYF.
Verbs	To think outside the box	Pensar con originalidad	 Pensar afuera de la caja	 At our brainstorming session, we thought OTB.
Verbs	To think something over	Considerar		 That's an interesting idea. I need to think it over before I decide.
Verbs	To throw a fight or a game	Perder una pelea o un partido a propósito		 The boxer threw the fight, he had been paid.
Verbs	To throw a fit	Tener un berrinche		 The little boy threw a fit in the supermarket because he wanted a candy bar.
Verbs	To throw in the towel	Rendirse	 Tirar la toalla	
Verbs	To tie the knot	Casarse	 Atar el nudo	
Verbs	To tinker with	Remendar, tratar de reparar		Dad is always tinkering with one machine or another in the garage
Verbs	To toot one's own horn	Presumir		
Verbs	To touch base	Ponerse en contacto con alguien	Tocar base (del béisbol)	
Verbs	To toy with	Pensando en	 jugar con	 I am toying with the idea of dying my hair blond. (Not really!)
Verbs	To tread carefully	Actuar de manera prudente	 Andar con cuidado	Your boss is in a bad mood
Verbs	To try on (clothing)	To try out (electronics, cars, etc)		 Try on this dress for size.
Verbs	To try something on	Probar la ropa		 Try this on for size!
Verbs	To try your hand at something	Intentar hacer algo		 Try your hand at tennis
Verbs	To tune in to	Sintonizar		Be sure to tune in to the presidential debates.
Verbs	To turn a blind eye	Hacerse de la vista gorda / Fingir que no ve		 He saw her cheating on the test, but turned a blind eye.
Verbs	To turn down	Rechazar		 He turned down the job offer because he didn't like the terms.
Verbs	To turn down	Bajar el volumen o la temperatura.		The neighbors said to turn down the music or they'll call the police.
Verbs	To turn over a new leaf	Hacer borrón y cuenta nueva / dejar un asunto o problema atrás y empezar de nuevo		 Joe turned over a new leaf and started going to the gym every day.
Verbs	To twist someone's arm	Obligar o persuadir alguien hacer X	 Torcer el brazo a alguien	Stop twisting my arm
Verbs	To waffle	Estar indeciso		
Verbs	To walk a mile in someone's shoes	Entender la posición del otro / ponerse en los zapatos del otro	 Caminar una milla en los zapatos del otro.	
Verbs	To want/need X so bad you can taste	Querer/necesitar X mucho	Taste = probar (comida)	 I want a new job so bad I can taste it.
Verbs	To watch out for	Tener cuidado		EJ. You have to watch out for deer when driving at night in the country.
Verbs	To watch X like a hawk	Observar como un halcón		The teacher watches them LAH
Verbs	To water down	Hacer menos fuerte, diluir		 Don't water down my drink. I like it strong.
Verbs	To wear off	desaparecer poco a poco, maquillaje o medicina		The allergy pills wore off and I'm sneezing again.
Verbs	To wear your heart on your sleeve	Mostrar tus emociones abiertamente.		I know exactly how he feels because he wears his heart...
Verbs	To weigh on my mind	Preocuparme		
Verbs	To work one's way through college	Trabajar mientras estudia para pagar los gastos universitarios		
Verbs	to work out	salir/resultar bien		 Everything will work out.
Verbs	to work out (2)	hacer ejercicio		I need to work out at the gym every day.
Verbs	To work the graveyard shift	Trabajar el turno de la noche (12am - 8am)		Graveyard = cementerio
Verbs	To wrap it up	Terminar, acabar	 Envolverlo	 The candidate wrapped up his speech, and then the crowd applauded.
Verbs	To wring someone's neck	"Regañar a alguien / ""torcer el cuello"""		 My mother will wring my neck when she sees what I did to the car!
